iter	Passed	Remaining
457	808	956
458	810	955
459	812	954
460	814	952
461	816	950
462	817	948
463	818	945
464	820	943
465	821	941
466	822	939
467	823	936
468	824	933
469	825	931
470	826	928
471	827	926
472	829	923
473	830	921
474	831	918
475	832	916
476	833	914
477	834	911
478	836	909
479	837	906
480	838	904
481	839	902
482	840	899
483	841	897
484	843	895
485	844	892
486	845	890
487	846	888
488	847	885
489	848	883
490	850	881
491	851	878
492	852	876
493	853	873
494	854	871
495	855	868
496	855	866
497	857	863
498	859	863
499	861	861
500	862	858
501	863	857
502	865	854
503	866	852
504	867	850
505	868	847
506	869	845
507	870	843
508	871	841
509	873	838
510	874	836
511	875	834
512	876	832
513	878	830
514	879	828
515	880	826
516	881	823
517	882	821
518	883	819
519	885	816
520	886	814
521	887	812
522	889	810
523	890	808
524	891	806
525	892	804
526	893	802
527	895	800
528	896	798
529	897	796
530	899	794
531	900	791
532	901	789
533	902	787
534	904	786
535	906	784
536	907	782
537	908	780
538	909	778
539	910	775
540	911	773
541	913	771
542	914	770
543	916	767
544	917	766
545	919	764
546	920	762
547	922	760
548	923	758
549	924	756
550	926	754
551	927	752
552	928	750
553	929	748
554	930	746
555	932	744
556	933	742
557	935	740
558	936	738
559	937	736
560	939	734
561	940	732
562	941	730
563	942	728
564	943	726
565	944	724
566	946	722
567	947	720
568	949	719
569	951	717
570	953	716
571	954	714
572	956	712
573	957	710
574	959	708
575	960	707
576	962	705
577	964	703
578	965	702
579	966	700
580	968	698
581	969	696
582	970	694
583	971	692
584	972	690
585	974	688
586	975	686
587	976	684
588	977	682
589	979	680
590	980	678
591	981	676
592	982	674
593	983	672
594	984	670
595	985	668
596	987	666
597	988	664
598	989	662
599	991	661
600	993	659
601	994	657
602	995	655
603	996	653
604	997	651
605	998	649
606	999	647
607	1001	645
608	1002	643
609	1003	641
610	1004	639
611	1006	637
612	1007	636
613	1008	634
614	1010	632
615	1011	630
616	1012	628
617	1014	626
618	1015	624
619	1016	622
620	1017	621
621	1019	619
622	1020	617
623	1021	615
624	1022	613
625	1024	611
626	1025	609
627	1026	608
628	1027	606
629	1029	604
630	1030	602
631	1031	600
632	1032	598
633	1034	596
634	1035	594
635	1036	593
636	1037	591
637	1038	589
638	1039	587
639	1040	585
640	1041	583
641	1042	581
642	1044	579
643	1045	577
644	1046	576
645	1047	574
646	1048	572
647	1050	570
648	1051	568
649	1052	566
650	1054	565
651	1055	563
652	1056	561
653	1057	559
